name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Wildfire,SBTRKT,2011,"['electronica', 'future garage', 'indie soul', 'indietronica']",indie,201000,59,Electronic,48,235,73,114,4.182978723404255,2,2,0.099,0.649,0.252,0.9898
Days To Come,Bonobo,2006-10-02,"['downtempo', 'electronica', 'indietronica', 'instrumental hip-hop', 'jazztronica', 'nu jazz', 'trip hop']",hip-hop,229520,64,Electronic,29,166,99,60,4.5120481927710845,2,2,0.065,0.765,0.17,0.9493
Gold (feat. Yuna),Adventure Club,2013-10-29,"['brostep', 'canadian electronic', 'complextro', 'edm', 'electro house', 'filthstep', 'pop dance']",electronic,257044,53,Electronic,40,195,67,73,4.697435897435898,0,1,0.019,0.721,0.261,0.9947
Nightbird,DJ Snake,2022-11-04,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,156190,58,Electronic,25,164,38,81,3.7804878048780486,1,0,0.124,0.806,0.07,-0.695
Ungodly Fruit,Wax Tailor,2005-02-22,"['electronica', 'hip-hop experimental', 'nu jazz', 'trip hop']",hip-hop,180333,59,Electronic,9,57,43,30,4.035087719298246,0,0,0.0,0.744,0.256,0.9578
I'm Good (Blue),David Guetta,2022-08-26,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",pop,175238,95,Dance,23,175,61,86,4.24,1,2,0.008,0.679,0.313,0.9939
Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,"['dance pop', 'pop', 'uk pop']",pop,176579,93,Dance,26,155,103,70,4.129032258064516,2,1,0.028,0.855,0.118,0.9233
Locked out of Heaven,Bruno Mars,2012-12-07,"['dance pop', 'pop']",pop,233478,89,Dance,25,119,64,37,4.3277310924369745,1,1,0.011,0.593,0.396,0.9949
Just the Way You Are,Bruno Mars,2010-10-05,"['dance pop', 'pop']",pop,220734,86,Dance,25,131,93,65,4.2748091603053435,1,1,0.032,0.773,0.195,0.9715
Before He Cheats,Carrie Underwood,2005-11-14,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop']",country,199946,83,Dance,24,148,98,66,4.695945945945946,2,1,0.047,0.861,0.092,0.707
TiK ToK,Kesha,2010-01-01,"['dance pop', 'pop']",pop,199693,85,Dance,33,221,130,82,4.004524886877828,2,1,0.047,0.817,0.136,0.9555
Grenade,Bruno Mars,2010-10-05,"['dance pop', 'pop']",pop,222091,80,Dance,32,160,101,75,3.875,1,1,0.079,0.726,0.194,0.9558
Streets,Doja Cat,2019-11-07,"['dance pop', 'pop']",pop,226986,84,Dance,38,204,118,113,3.8676470588235294,1,1,0.038,0.801,0.161,0.9702
Talking to the Moon,Bruno Mars,2010-10-05,"['dance pop', 'pop']",pop,217866,84,Dance,24,126,86,65,3.992063492063492,2,1,0.121,0.758,0.121,-0.4678
Temperature,Sean Paul,2005-09-26,"['dance pop', 'dancehall', 'pop', 'pop rap']",pop,218573,84,Dance,85,693,202,297,3.89033189033189,2,4,0.035,0.814,0.151,0.9978
Summer,Calvin Harris,2014-10-31,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance,222533,86,Dance,33,130,47,61,4.369230769230769,0,2,0.048,0.847,0.104,0.8331
Just Dance,Lady Gaga,2008-01-01,"['art pop', 'dance pop', 'pop']",pop,241933,78,Dance,34,134,93,41,4.291044776119403,1,1,0.04,0.84,0.12,0.8788
The Way I Are,Timbaland,2007-01-01,"['dance pop', 'pop', 'pop rap']",pop,179120,84,Dance,88,587,175,284,3.754684838160136,2,3,0.019,0.77,0.211,0.9989
The Nights,Avicii,2014-01-01,"['edm', 'pop', 'pop dance']",pop,176658,89,Dance,24,132,101,56,4.1893939393939394,1,1,0.058,0.901,0.041,-0.0654
Need to Know,Doja Cat,2021-06-25,"['dance pop', 'pop']",pop,210560,83,Dance,40,252,145,112,4.01984126984127,1,1,0.096,0.792,0.112,0.0508
Kiss Me More (feat. SZA),Doja Cat,2021-06-25,"['dance pop', 'pop']",pop,208666,84,Dance,82,546,219,246,4.142857142857143,3,1,0.075,0.739,0.186,0.9963
Toxic,Britney Spears,2003-11-13,"['dance pop', 'pop']",pop,198800,85,Dance,23,124,82,67,4.137096774193548,2,1,0.127,0.761,0.111,-0.2677
Call Me Maybe,Carly Rae Jepsen,2012-01-01,"['canadian pop', 'dance pop', 'pop']",pop,193400,76,Dance,23,141,78,82,3.8085106382978724,1,1,0.055,0.854,0.091,0.0387
This Is What You Came For,Calvin Harris,2016-04-29,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance,222160,86,Dance,48,248,66,119,4.782258064516129,1,3,0.061,0.905,0.034,-0.7227
One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance,214846,89,Dance,70,299,86,128,4.240802675585284,2,3,0.019,0.707,0.273,0.998
Unstoppable,Sia,2016-10-21,"['australian dance', 'australian pop', 'pop']",pop,217746,84,Dance,24,164,105,80,4.298780487804878,2,1,0.1,0.733,0.167,0.8909
Smack That,Akon,2006-01-01,['dance pop'],dance,212360,85,Dance,96,639,239,287,4.258215962441315,3,3,0.072,0.867,0.062,-0.8295
The Sweet Escape,Gwen Stefani,2006-01-01,"['dance pop', 'pop']",pop,246466,76,Dance,71,531,168,220,4.642184557438795,2,3,0.156,0.697,0.147,-0.9134
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-09-23,"['dance pop', 'pop']",pop,237546,77,Dance,91,565,155,268,4.23716814159292,2,3,0.021,0.808,0.171,0.9979
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011-11-11,"['dance pop', 'pop rap']",pop,210960,84,Dance,156,731,241,274,3.8030095759233924,2,2,0.025,0.825,0.15,0.9967
You Right,Doja Cat,2021-06-25,"['dance pop', 'pop']",pop,186173,84,Dance,86,509,168,274,3.599214145383104,2,3,0.095,0.808,0.097,-0.8377
I'm Yours,Jason Mraz,2008-05-12,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",pop,242946,83,Dance,21,141,100,73,3.978723404255319,2,1,0.031,0.55,0.419,0.998
Ain't Shit,Doja Cat,2021-06-25,"['dance pop', 'pop']",pop,174253,81,Dance,63,421,191,194,4.285035629453682,2,2,0.123,0.691,0.186,0.9836
Since U Been Gone,Kelly Clarkson,2004-01-17,"['dance pop', 'pop', 'talent show']",pop,188960,76,Dance,56,292,117,162,3.8493150684931505,3,3,0.019,0.745,0.236,0.9964
